Название;Адрес;Телефон;Часы работы;Email;Категория
Медиапорт;Тюмень, Рижская, 58;7 (3452) 20-09-60;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Айтико;Тюмень, 30 лет Победы, 38а;7 (3452) 68-52-72;пн.- пт. с 10:00 до 19:00;info@aitiko.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Альфа-Климат;Тюмень, ;7 (3452) 90-89-79;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Матрица;Тюмень, Паровозная, 11;7 (3452) 30-77-84;пн.- пт. с 10:00 до 19:00;matrix-72@inbox.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Мобайл Экспресстехники;Тюмень, Пермякова, 82 к1;7 (3452) 57-80-23;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Максикомп;Тюмень, Казачьи Луга, 11;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Универсалсервис;Тюмень, 30 лет Победы, 7 ст3;7 (3452) 54-91-90;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Перезагрузка;Тюмень, Мельникайте, 66;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
А Мастер;Тюмень, Республики, 61;7 (3452) 50-00-42, 7 (3452) 522-034, 7 (3452) 60-99-68;пн.- пт. с 10:00 до 19:00;vse-delaem@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Рембытсервис;Тюмень, Рижская, 45а;7 (3452) 96-61-67, 7 (3452) 68-43-66;пн.- пт. с 10:00 до 19:00;zolnikof2011@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Клик;Тюмень, Герцена, 78;7 (3452) 38-11-61, 7 (3452) 39-00-96;пн.- пт. с 10:00 до 19:00;ooo_click@mail.ru,  stamp-pechati@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Апгрейд;Тюмень, Мельникайте, 58;7 (3452) 933-229;пн.- пт. с 10:00 до 19:00;608422@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Альпина72;Тюмень, 30 лет Победы, 25 ст2;7 (3452) 60-50-70, 7 (3452) 605-840, 7 (3452) 533-019;пн.- пт. с 10:00 до 19:00;alpina72@ya.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Орбита-Сервис;Тюмень, Широтная, 200;7 (3452) 603-502, 7 (3452) 610-459;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Мобил сити;Тюмень, Червишевский тракт, 25;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Mobile Service;Тюмень, Орджоникидзе, 63а;7 (3452) 93-16-92;пн.- пт. с 10:00 до 19:00;service2000@inbox.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
СИТИ КЛИМАТ;Тюмень, Одесская, 3 ст1;7 (3452) 39-39-03;пн.- пт. с 10:00 до 19:00;cityclimat.com@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Сим Ком;Тюмень, 50 лет ВЛКСМ, 107а;7 (3452) 600-322;пн.- пт. с 10:00 до 19:00;sim_kom@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
МОНИТОР;Тюмень, Рабочая, 14а;7 (3452) 600-115;пн.- пт. с 10:00 до 19:00;admin@mail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Андромеда-Т;Тюмень, Минская, 3 к1;7 (3452) 26-67-74;пн.- пт. с 10:00 до 19:00;victorrus71@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Знак Качества;Тюмень, Мельникайте, 44а;7 (3452) 616-210;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Авиком;Тюмень, Пржевальского, 36;7 (3452) 73-84-43, 7 (3452) 73-21-06;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Актеом;Тюмень, Циолковского, 7 к1;7 (3452) 68-77-64;пн.- пт. с 10:00 до 19:00;mail@acteom.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Эксперт Софт;Тюмень, Николая Гондатти, 1/2;7 (3452) 500-636;пн.- пт. с 10:00 до 19:00;support@expert72.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
V service;Тюмень, 50 лет Октября, 1а;7 (3452) 21-55-88;пн.- пт. с 10:00 до 19:00;workshop1408@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АйТи Плюс;Тюмень, Мельникайте, 116;7 (3452) 689-000;пн.- пт. с 10:00 до 19:00;info@itpsvc.ru,  support@tiu.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Хороший мастер;Тюмень, Максима Горького, 10;7 (3452) 60-61-42, 7 (3452) 93-87-94;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Service-Pro;Тюмень, Республики, 40;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Находка;Тюмень, Мельникайте, 66;7 (3452) 956-906;пн.- пт. с 10:00 до 19:00;support@tiu.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Полярная звезда;Тюмень, Минская, 3 к1;7 (3452) 26-60-76;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Управление климата;Тюмень, Ямская, 87а;7 (3452) 500-218;пн.- пт. с 10:00 до 19:00;skakun@72m.su,  omts@72m.su,  a.slisenko@pmvent.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Прогресс;Тюмень, Газовиков, 53 к1;7 (3452) 46-43-17, 7 (3452) 22-37-85, 7 (3452) 51-77-70;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Макси-Сервис;Тюмень, Таврическая, 9Б;7 (3452) 25-11-60, 7 (3452) 60-64-20;пн.- пт. с 10:00 до 19:00;f89222656602@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ДЕОЗАЛ;Тюмень, 9 Января, 124;7 (3452) 59-19-10, 7 (3452) 59-10-01;пн.- пт. с 10:00 до 19:00;101@deozal.ru,  71@deozal.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АйТи Лямбда;Тюмень, Харьковская, 83а к4;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Fashion Kosmetik;Тюмень, Станислава Карнацевича, 14;7 (3452) 534-090;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Мастер Люкс;Тюмень, Энергостроителей, 22;7 (3452) 929-757;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АйТи-Мастер;Тюмень, Николая Гондатти, 7/2;7 (3452) 695-639;пн.- пт. с 10:00 до 19:00;admin@admin.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
